GUID,GEOGDESC,Male,Female,Total
2AE1962918A213A3E055000000000001,Marley,599,66,1129
2AE19629182313A3E055000000000001,Tinnahinch,564,3204,1612
2AE196291CEB13A3E055000000000001,Arran Quay A,993,3588,1496
2AE196291CEC13A3E055000000000001,Arran Quay B,174,2532,3453
2AE196291CED13A3E055000000000001,Arran Quay C,51,3453,4649
2AE196291CEE13A3E055000000000001,Arran Quay D,886,1680,2214
2AE196291CEF13A3E055000000000001,Arran Quay E,300,473,4927
2AE196291CF013A3E055000000000001,Ashtown A,61,1875,3919
2AE196291D0313A3E055000000000001,Ashtown B,35,1476,4073
2AE196291D0413A3E055000000000001,Ayrfield,187,3463,2917
2AE196291D0513A3E055000000000001,Ballybough A,221,2054,2468
2AE196291D0613A3E055000000000001,Ballybough B,266,3260,306
2AE196291D0813A3E055000000000001,Ballygall A,724,561,105
2AE196291D0913A3E055000000000001,Ballygall B,18,885,4435
2AE196291D0713A3E055000000000001,Ballygall C,362,729,3692
2AE196291D0A13A3E055000000000001,Ballygall D,205,3674,2518
2AE196291D0B13A3E055000000000001,Ballymun A,17,666,3059
2AE196291D0C13A3E055000000000001,Ballymun B,599,463,768
2AE196291D0D13A3E055000000000001,Ballymun C,737,1855,2832
2AE196291D0E13A3E055000000000001,Ballymun D,592,2779,3757
2AE196291D0F13A3E055000000000001,Ballymun E,238,420,232
2AE196291D1013A3E055000000000001,Ballymun F,274,1132,3564
2AE196291D1113A3E055000000000001,Beaumont A,764,491,1290
2AE196291D1213A3E055000000000001,Beaumont B,766,3645,4464
2AE196291D2113A3E055000000000001,Beaumont C,462,3621,1286
2AE196291D2213A3E055000000000001,Beaumont D,22,870,1200
2AE196291D2313A3E055000000000001,Beaumont E,645,3347,4362
2AE196291D2413A3E055000000000001,Beaumont F,674,1481,1896
2AE196291D2513A3E055000000000001,Botanic A,733,3786,4077
2AE196291D2613A3E055000000000001,Botanic B,333,1144,4782
2AE196291D2713A3E055000000000001,Botanic C,954,1414,4315
2AE196291D2813A3E055000000000001,Cabra East A,710,3791,2137
2AE196291D2913A3E055000000000001,Cabra East B,757,3726,3653
2AE196291D2A13A3E055000000000001,Cabra East C,198,440,4691
2AE196291D2B13A3E055000000000001,Cabra West A,693,2674,1700
2AE196291D2C13A3E055000000000001,Cabra West B,856,576,2861
2AE196291D2D13A3E055000000000001,Cabra West C,851,3212,3499
2AE196291D2E13A3E055000000000001,Cabra West D,478,2461,2998
2AE196291D4313A3E055000000000001,Clontarf East A,513,3624,3311
2AE196291D4413A3E055000000000001,Clontarf East B,498,2528,3142
2AE196291D4513A3E055000000000001,Clontarf East C,826,306,2736
2AE196291D4613A3E055000000000001,Clontarf East D,850,886,623
2AE196291D4713A3E055000000000001,Clontarf East E,623,3806,3203
2AE196291D4813A3E055000000000001,Clontarf West A,829,3891,930
2AE196291D4913A3E055000000000001,Clontarf West B,341,803,834
2AE196291D4A13A3E055000000000001,Clontarf West C,377,790,1738
2AE196291D4B13A3E055000000000001,Clontarf West D,516,32,792
2AE196291D4C13A3E055000000000001,Clontarf West E,502,3739,3534
2AE196291D6513A3E055000000000001,Drumcondra South A,851,3898,2133
2AE196291D6613A3E055000000000001,Drumcondra South B,233,1699,2309
2AE196291D6713A3E055000000000001,Drumcondra South C,103,712,3873
2AE196291D6913A3E055000000000001,Edenmore,112,3826,3836
2AE196291D6A13A3E055000000000001,Finglas North A,717,1876,4489
2AE196291D6B13A3E055000000000001,Finglas North B,101,2164,4449
2AE196291D6C13A3E055000000000001,Finglas North C,488,2468,2007
2AE196291D6D13A3E055000000000001,Finglas South A,185,1022,4943
2AE196291D6E13A3E055000000000001,Finglas South B,793,3337,1208
2AE196291D6F13A3E055000000000001,Finglas South C,734,504,2896
2AE196291D7013A3E055000000000001,Finglas South D,746,832,3061
2AE196291D7113A3E055000000000001,Grace Park,950,1338,2483
2AE196291D7F13A3E055000000000001,Grange A,628,2671,2553
2AE196291D8013A3E055000000000001,Grange B,419,1675,2507
2AE196291D8113A3E055000000000001,Grange C,961,250,538
2AE196291D8213A3E055000000000001,Grange D,514,3661,3890
2AE196291D8313A3E055000000000001,Grange E,168,2543,4559
2AE196291D8413A3E055000000000001,Harmonstown A,987,1860,3893
2AE196291D8513A3E055000000000001,Harmonstown B,530,2380,2781
2AE196291D8813A3E055000000000001,Inns Quay A,363,2182,4975
2AE196291D8913A3E055000000000001,Inns Quay B,939,1206,4962
2AE196291D8A13A3E055000000000001,Inns Quay C,261,3973,2347
2AE196291D9713A3E055000000000001,Kilmore A,548,218,1090
2AE196291D9813A3E055000000000001,Kilmore B,685,1756,902
2AE196291D8E13A3E055000000000001,Kilmore C,167,3173,25
2AE196291D9613A3E055000000000001,Kilmore D,677,1191,4372
2AE196291DA713A3E055000000000001,Mountjoy A,143,816,3822
2AE196291DA813A3E055000000000001,Mountjoy B,918,2790,1630
2AE196291DB213A3E055000000000001,North City,122,3767,2566
2AE196291DB313A3E055000000000001,North Dock A,291,2203,1627
2AE196291DB413A3E055000000000001,North Dock B,168,1662,608
2AE196291DB513A3E055000000000001,North Dock C,287,3478,1093
2AE196291DBE13A3E055000000000001,Phoenix Park,306,1964,2697
2AE196291DCC13A3E055000000000001,Priorswood A,492,1895,4892
2AE196291DCD13A3E055000000000001,Priorswood B,840,3204,3389
2AE196291DCA13A3E055000000000001,Priorswood C,870,2447,1835
2AE196291DCB13A3E055000000000001,Priorswood D,871,2148,1386
2AE196291DCE13A3E055000000000001,Priorswood E,824,783,2071
2AE196291DCF13A3E055000000000001,Raheny-Foxfield,532,862,2424
2AE196291DD013A3E055000000000001,Raheny-Greendale,135,2256,2695
2AE196291DD113A3E055000000000001,Raheny-St. Assam,575,299,4757
2AE196291DEA13A3E055000000000001,Rotunda A,474,796,1699
2AE196291DEB13A3E055000000000001,Rotunda B,1,2374,1233
2AE196291E0913A3E055000000000001,Whitehall A,733,1505,1148
2AE196291E0A13A3E055000000000001,Whitehall B,925,1943,1248
2AE196291E0B13A3E055000000000001,Whitehall C,819,2834,1951
2AE196291E0C13A3E055000000000001,Whitehall D,716,2894,1302
2AE196291D2F13A3E055000000000001,Chapelizod,794,3649,362
2AE196291D3013A3E055000000000001,Cherry Orchard A,783,1347,3804
2AE196291D3113A3E055000000000001,Carna,425,1515,4825
2AE196291D4213A3E055000000000001,Cherry Orchard C,242,1893,29
2AE196291D4D13A3E055000000000001,Crumlin A,571,352,4654
2AE196291D4E13A3E055000000000001,Crumlin B,701,1900,3811
2AE196291D4F13A3E055000000000001,Crumlin C,974,1201,3843
2AE196291D5013A3E055000000000001,Crumlin D,642,2300,804
2AE196291D6213A3E055000000000001,Crumlin E,431,2400,76
2AE196291D6313A3E055000000000001,Crumlin F,151,1031,166
2AE196291D6413A3E055000000000001,Decies,404,1604,3157
2AE196291D6813A3E055000000000001,Drumfinn,549,3730,1934
2AE196291D8613A3E055000000000001,Inchicore A,752,46,3672
2AE196291D8713A3E055000000000001,Inchicore B,175,317,4493
2AE196291D8B13A3E055000000000001,Kilmainham A,26,840,3238
2AE196291D8C13A3E055000000000001,Kilmainham B,79,2211,1112
2AE196291D8D13A3E055000000000001,Kilmainham C,916,2738,229
2AE196291D9913A3E055000000000001,Kimmage A,828,1007,1730
2AE196291D9A13A3E055000000000001,Kimmage B,678,1887,3458
2AE196291D9B13A3E055000000000001,Kimmage C,704,2327,832
2AE196291D9C13A3E055000000000001,Kimmage D,680,1742,3764
2AE196291D9D13A3E055000000000001,Kimmage E,998,2463,3486
2AE196291D9E13A3E055000000000001,Kylemore,814,3333,834
2AE196291D9F13A3E055000000000001,Mansion House A,896,3993,4259
2AE196291DA013A3E055000000000001,Mansion House B,222,2179,1
2AE196291DA113A3E055000000000001,Merchants Quay A,807,1135,2872
2AE196291DA213A3E055000000000001,Merchants Quay B,677,1296,1771
2AE196291DA313A3E055000000000001,Merchants Quay C,4,2550,1053
2AE196291DA413A3E055000000000001,Merchants Quay D,415,1541,3002
2AE196291DA513A3E055000000000001,Merchants Quay E,451,1124,2028
2AE196291DA613A3E055000000000001,Merchants Quay F,970,3122,1223
2AE196291DB613A3E055000000000001,Pembroke East A,436,3122,2671
2AE196291DB713A3E055000000000001,Pembroke East B,712,3165,582
2AE196291DB813A3E055000000000001,Pembroke East C,698,3117,1113
2AE196291DB913A3E055000000000001,Pembroke East D,240,1076,3685
2AE196291DBA13A3E055000000000001,Pembroke East E,530,1107,1528
2AE196291DBB13A3E055000000000001,Pembroke West A,667,3835,2918
2AE196291DBC13A3E055000000000001,Pembroke West B,408,683,2345
2AE196291DBD13A3E055000000000001,Pembroke West C,745,2812,2883
2AE196291DD213A3E055000000000001,Rathfarnham,332,1600,1769
2AE196291DD313A3E055000000000001,Rathmines East A,844,2981,4615
2AE196291DD413A3E055000000000001,Rathmines East B,927,2318,1572
2AE196291DD513A3E055000000000001,Rathmines East C,98,1886,1040
2AE196291DD613A3E055000000000001,Rathmines East D,224,2330,2595
2AE196291DD713A3E055000000000001,Rathmines West A,556,372,4556
2AE196291DD813A3E055000000000001,Rathmines West B,669,1014,1518
2AE196291DE613A3E055000000000001,Rathmines West C,929,2901,3429
2AE196291DE713A3E055000000000001,Rathmines West D,406,278,3141
2AE196291DE813A3E055000000000001,Rathmines West E,758,3619,4333
2AE196291DE913A3E055000000000001,Rathmines West F,655,3172,2569
2AE196291DEC13A3E055000000000001,Royal Exchange A,721,3624,3630
2AE196291DED13A3E055000000000001,Royal Exchange B,574,69,1585
2AE196291DEE13A3E055000000000001,St. Kevin's,772,2582,1115
2AE196291DEF13A3E055000000000001,South Dock,749,1485,4783
2AE196291DF013A3E055000000000001,Terenure A,747,3140,1108
2AE196291DF113A3E055000000000001,Terenure B,74,3269,4499
2AE196291DF213A3E055000000000001,Terenure C,357,3445,2664
2AE196291DF313A3E055000000000001,Terenure D,848,2896,2658
2AE196291DF413A3E055000000000001,Ushers A,728,2671,2840
2AE196291DF513A3E055000000000001,Ushers B,668,1329,4137
2AE196291DF613A3E055000000000001,Ushers C,34,2034,659
2AE196291DF713A3E055000000000001,Ushers D,779,716,2823
2AE196291DF813A3E055000000000001,Ushers E,130,753,1616
2AE196291E0513A3E055000000000001,Ushers F,708,2738,2536
2AE196291E0613A3E055000000000001,Walkinstown A,342,2516,3733
2AE196291E0713A3E055000000000001,Walkinstown B,556,324,4714
2AE196291E0813A3E055000000000001,Walkinstown C,152,1828,12
2AE196291E0D13A3E055000000000001,Wood Quay A,364,3561,3030
2AE196291E0E13A3E055000000000001,Wood Quay B,97,3550,142
2AE196291E2313A3E055000000000001,Ballinascorney,776,2709,1199
2AE196291E2A13A3E055000000000001,Ballyboden,626,1220,4850
2AE196291CE013A3E055000000000001,Bohernabreena,513,412,4074
2AE196291CFC13A3E055000000000001,Clondalkin-Ballymount,645,430,2427
2AE196291CFD13A3E055000000000001,Clondalkin-Cappaghmore,682,364,15
2AE196291CFE13A3E055000000000001,Clondalkin-Dunawley,964,1708,4729
2AE196291CFF13A3E055000000000001,Clondalkin-Monastery,5,2237,4781
2AE196291D0013A3E055000000000001,Clondalkin-Moorfield,890,1993,4232
2AE196291D0113A3E055000000000001,Clondalkin-Rowlagh,81,1728,3784
2AE196291D0213A3E055000000000001,Clondalkin Village,501,1771,1021
2AE196291D5F13A3E055000000000001,Edmondstown,746,615,2281
2AE196291D6113A3E055000000000001,Firhouse-Ballycullen,77,892,2357
2AE196291D7813A3E055000000000001,Firhouse-Knocklyon,269,3866,4239
2AE196291D6013A3E055000000000001,Firhouse Village,377,3926,1967
2AE196291DC713A3E055000000000001,Lucan-Esker,393,3548,4195
2AE196291DC813A3E055000000000001,Lucan Heights,197,114,1217
2AE196291DDE13A3E055000000000001,Lucan-St. Helen's,861,414,3718
2AE196291DE213A3E055000000000001,Newcastle,92,558,3598
2AE196291DE313A3E055000000000001,Palmerston Village,361,3173,2392
2AE196291DE413A3E055000000000001,Palmerston West,657,3891,193
2AE196291DFF13A3E055000000000001,Rathcoole,117,2657,124
2AE196291E0013A3E055000000000001,Rathfarnham-Ballyroan,862,524,2488
2AE196291E0113A3E055000000000001,Rathfarnham-Butterfield,462,514,616
2AE196291E0213A3E055000000000001,Rathfarnham-Hermitage,736,382,4215
2AE196291E0313A3E055000000000001,Rathfarnham-St. Enda's,683,423,3896
2AE196291E0413A3E055000000000001,Rathfarnham Village,811,276,1705
2AE196291E1613A3E055000000000001,Saggart,167,256,2446
2AE196291CB313A3E055000000000001,Tallaght-Avonbeg,945,1414,1846
2AE196291CB413A3E055000000000001,Tallaght-Belgard,810,1954,4885
2AE196291CB513A3E055000000000001,Tallaght-Fettercairn,314,2628,568
2AE196291CB613A3E055000000000001,Tallaght-Glenview,861,2119,3192
2AE196291CB713A3E055000000000001,Tallaght-Jobstown,816,869,1210
2AE196291CB813A3E055000000000001,Tallaght-Killinardan,600,902,4459
2AE196291CCA13A3E055000000000001,Tallaght-Kilnamanagh,626,1706,749
2AE196291CCB13A3E055000000000001,Tallaght-Kiltipper,501,2292,1595
2AE196291CCC13A3E055000000000001,Tallaght-Kingswood,784,3950,2534
2AE196291CCD13A3E055000000000001,Tallaght-Millbrook,487,430,3290
2AE196291CCE13A3E055000000000001,Tallaght-Oldbawn,605,1658,2056
2AE196291CCF13A3E055000000000001,Tallaght-Springfield,283,3595,2438
2AE196291CD013A3E055000000000001,Tallaght-Tymon,652,754,211
2AE196291CD113A3E055000000000001,Templeogue-Cypress,255,1725,3318
2AE196291CD213A3E055000000000001,Templeogue-Kimmage Manor,893,3467,3973
2AE196291CD313A3E055000000000001,Templeogue-Limekiln,78,3152,805
2AE196291CD413A3E055000000000001,Templeogue-Orwell,198,1350,4108
2AE196291CD513A3E055000000000001,Templeogue-Osprey,594,3225,1093
2AE196291CD613A3E055000000000001,Templeogue Village,45,2602,742
2AE196291CD713A3E055000000000001,Terenure-Cherryfield,738,2021,4591
2AE196291CE613A3E055000000000001,Terenure-Greentrees,938,2166,4615
2AE196291CE713A3E055000000000001,Terenure-St. James,955,683,4766
2AE196291EEF13A3E055000000000001,Airport,338,2878,378
2AE196291EF013A3E055000000000001,Balbriggan Rural,765,41,830
2AE196291EF113A3E055000000000001,Balbriggan Urban,215,1,1734
2AE196291EF213A3E055000000000001,Baldoyle,969,2146,3924
2AE196291E2213A3E055000000000001,Balgriffin,861,695,1487
2AE196291E3313A3E055000000000001,Ballyboghil,58,557,660
2AE196291E3513A3E055000000000001,Balscadden,472,1668,687
2AE196291CC513A3E055000000000001,Blanchardstown-Abbotstown,636,89,4801
2AE196291CC613A3E055000000000001,Blanchardstown-Blakestown,509,2017,4153
2AE196291CC713A3E055000000000001,Blanchardstown-Coolmine,834,3888,3793
2AE196291CC813A3E055000000000001,Blanchardstown-Corduff,841,2337,4629
2AE196291CC913A3E055000000000001,Blanchardstown-Delwood,953,294,1833
2AE196291CDD13A3E055000000000001,Blanchardstown-Mulhuddart,528,3911,2850
2AE196291CDE13A3E055000000000001,Blanchardstown-Roselawn,788,3342,2831
2AE196291CDF13A3E055000000000001,Blanchardstown-Tyrrelstown,208,686,1572
2AE196291CE513A3E055000000000001,Castleknock-Knockmaroon,138,2779,2912
2AE196291CF613A3E055000000000001,Castleknock-Park,388,793,176
2AE196291D1713A3E055000000000001,Clonmethan,836,608,1737
2AE196291D3813A3E055000000000001,Donabate,308,878,211
2AE196291D3913A3E055000000000001,Dubber,911,2669,4964
2AE196291D7D13A3E055000000000001,Garristown,333,436,3353
2AE196291D9413A3E055000000000001,Hollywood,192,2986,388
2AE196291D9513A3E055000000000001,Holmpatrick,900,1658,1679
2AE196291DAF13A3E055000000000001,Howth,278,1654,2621
2AE196291DC513A3E055000000000001,Kilsallaghan,953,24,746
2AE196291DC613A3E055000000000001,Kinsaley,51,655,2239
2AE196291DC913A3E055000000000001,Lucan North,548,3579,139
2AE196291DDF13A3E055000000000001,Lusk,296,1560,1780
2AE196291DE013A3E055000000000001,Malahide East,959,1552,3120
2AE196291DE113A3E055000000000001,Malahide West,363,2170,4670
2AE196291DE513A3E055000000000001,Portmarnock North,787,1836,3298
2AE196291DFE13A3E055000000000001,Portmarnock South,695,1578,4513
2AE196291E1513A3E055000000000001,Rush,492,3098,4451
2AE196291C9F13A3E055000000000001,Skerries,56,1574,552
2AE196291CA613A3E055000000000001,Sutton,822,554,1068
2AE196291CA813A3E055000000000001,Swords-Forrest,636,2456,3459
2AE196291CA713A3E055000000000001,Swords-Glasmore,835,478,2486
2AE196291CB013A3E055000000000001,Swords-Lissenhall,848,3684,298
2AE196291CB113A3E055000000000001,Swords-Seatown,684,3730,2360
2AE196291CB213A3E055000000000001,Swords Village,508,2082,3583
2AE196291CE813A3E055000000000001,The Ward,627,200,2413
2AE196291CEA13A3E055000000000001,Turnapin,633,3432,3758
2AE196291E2513A3E055000000000001,Ballinteer-Broadford,675,3270,3123
2AE196291E2613A3E055000000000001,Ballinteer-Ludford,485,2088,3745
2AE196291E2713A3E055000000000001,Ballinteer-Marley,141,9,2421
2AE196291E2813A3E055000000000001,Ballinteer-Meadowbroads,89,2324,24
2AE196291E2913A3E055000000000001,Ballinteer-Meadowmount,955,2144,167
2AE196291E2413A3E055000000000001,Ballinteer-Woodpark,503,2111,1380
2AE196291E3413A3E055000000000001,Ballybrack,270,2051,2728
2AE196291E3813A3E055000000000001,Blackrock-Booterstown,777,3414,3590
2AE196291CBE13A3E055000000000001,Blackrock-Carysfort,933,1692,795
2AE196291CBF13A3E055000000000001,Blackrock-Central,35,3925,537
2AE196291CC013A3E055000000000001,Blackrock-Glenomena,846,1837,2483
2AE196291E3613A3E055000000000001,Blackrock-Monkstown,542,754,2237
2AE196291CC113A3E055000000000001,Blackrock-Newpark,917,1347,2751
2AE196291E3713A3E055000000000001,Blackrock-Seapoint,695,840,66
2AE196291CC213A3E055000000000001,Blackrock-Stradbrook,835,517,4967
2AE196291CC313A3E055000000000001,Blackrock-Templehill,186,2453,1629
2AE196291CC413A3E055000000000001,Blackrock-Williamstown,283,916,281
2AE196291CE113A3E055000000000001,Cabinteely-Granitefield,795,3999,2976
2AE196291CE213A3E055000000000001,Cabinteely-Kilbogget,284,288,765
2AE196291CE313A3E055000000000001,Cabinteely-Loughlinstown,247,3822,1686
2AE196291CE413A3E055000000000001,Cabinteely-Pottery,608,2324,312
2AE196291CF713A3E055000000000001,Churchtown-Castle,140,176,4647
2AE196291CF813A3E055000000000001,Churchtown-Landscape,545,1384,4759
2AE196291CF913A3E055000000000001,Churchtown-Nutgrove,546,342,1808
2AE196291CFA13A3E055000000000001,Churchtown-Orwell,629,3704,2454
2AE196291CFB13A3E055000000000001,Churchtown-Woodlawn,910,21,4866
2AE196291D1913A3E055000000000001,Clonskeagh-Belfield,537,1374,2969
2AE196291D1A13A3E055000000000001,Clonskeagh-Farranboley,763,1340,2650
2AE196291D1813A3E055000000000001,Clonskeagh-Milltown,584,2293,1157
2AE196291D1B13A3E055000000000001,Clonskeagh-Roebuck,501,2650,3831
2AE196291D1C13A3E055000000000001,Clonskeagh-Windy Arbour,246,2030,2484
2AE196291D1F13A3E055000000000001,Dalkey-Avondale,494,2341,2183
2AE196291D2013A3E055000000000001,Dalkey-Bullock,204,598,4854
2AE196291D3713A3E055000000000001,Dalkey-Coliemore,845,3780,4683
2AE196291D1D13A3E055000000000001,Dalkey Hill,167,73,4439
2AE196291D1E13A3E055000000000001,Dalkey Upper,716,1630,4200
2AE196291D5A13A3E055000000000001,Dundrum-Balally,459,1937,3162
2AE196291D5B13A3E055000000000001,Dundrum-Kilmacud,331,3076,2894
2AE196291D5C13A3E055000000000001,Dundrum-Sandyford,190,3030,1860
2AE196291D5D13A3E055000000000001,Dundrum-Sweetmount,848,3411,2526
2AE196291D5E13A3E055000000000001,Dundrum-Taney,372,887,1515
2AE196291D3A13A3E055000000000001,Dún Laoghaire-East Central,221,3126,4999
2AE196291D3B13A3E055000000000001,Dún Laoghaire-Glasthule,868,1694,2868
2AE196291D3C13A3E055000000000001,Dún Laoghaire-Glenageary,700,338,3809
2AE196291D3D13A3E055000000000001,Dún Laoghaire-Monkstown Farm,495,220,4492
2AE196291D3E13A3E055000000000001,Dún Laoghaire-Mount Town,539,2130,2837
2AE196291D3F13A3E055000000000001,Dún Laoghaire-Sallynoggin East,132,196,1389
2AE196291D4013A3E055000000000001,Dún Laoghaire-Sallynoggin South,804,3493,1608
2AE196291D4113A3E055000000000001,Dún Laoghaire-Sallynoggin West,363,1047,4919
2AE196291D5813A3E055000000000001,Dún Laoghaire-Sandycove,417,2167,4026
2AE196291D5713A3E055000000000001,Dún Laoghaire-Salthill,230,3418,2912
2AE196291D5913A3E055000000000001,Dún Laoghaire-West Central,251,376,260
2AE196291D7913A3E055000000000001,Foxrock-Beechpark,81,1594,886
2AE196291D7A13A3E055000000000001,Foxrock-Carrickmines,427,694,3624
2AE196291D7B13A3E055000000000001,Foxrock-Deans Grange,136,206,1385
2AE196291D7C13A3E055000000000001,Foxrock-Torquay,938,304,2923
2AE196291D7E13A3E055000000000001,Glencullen,121,3521,1460
2AE196291DB013A3E055000000000001,Killiney North,941,265,3936
2AE196291DB113A3E055000000000001,Killiney South,820,886,2551
2AE196291E1713A3E055000000000001,Shankill-Rathmichael,544,966,4950
2AE196291E1813A3E055000000000001,Shankill-Rathsallagh,387,1865,4131
2AE196291E1913A3E055000000000001,Shankill-Shanganagh,987,3737,4629
2AE196291CA013A3E055000000000001,Stillorgan-Deerpark,912,2916,4948
2AE196291CA113A3E055000000000001,Stillorgan-Kilmacud,939,3621,2157
2AE196291CA213A3E055000000000001,Stillorgan-Leopardstown,887,3427,4802
2AE196291CA313A3E055000000000001,Stillorgan-Merville,680,3136,3421
2AE196291CA413A3E055000000000001,Stillorgan-Mount Merrion,267,2432,3492
2AE196291CA513A3E055000000000001,Stillorgan-Priory,179,2773,2842
2AE196291CE913A3E055000000000001,Tibradden,933,2967,2688
2AE19629229D13A3E055000000000001,Athy East Urban,186,2520,3807
2AE19629223C13A3E055000000000001,Athy West Urban,76,3506,4508
2AE19629225B13A3E055000000000001,Naas Urban,950,353,4651
2AE19629223B13A3E055000000000001,Athy Rural,373,243,3825
2AE19629223D13A3E055000000000001,Ballaghmoon,624,873,1118
2AE19629224813A3E055000000000001,Ballitore,72,302,1013
2AE19629224913A3E055000000000001,Ballybrackan,400,3825,2245
2AE19629225913A3E055000000000001,Ballyshannon,966,808,489
2AE19629226513A3E055000000000001,Belan,708,1031,4051
2AE19629226613A3E055000000000001,Bert,583,2349,1253
2AE19629227313A3E055000000000001,Burtown,904,2711,106
2AE19629228C13A3E055000000000001,Carrigeen,554,2662,3194
2AE19629228D13A3E055000000000001,Castledermot,618,2238,701
2AE19629229813A3E055000000000001,Churchtown,541,2500,330
2AE1962922C113A3E055000000000001,Dunmanoge,362,2838,3238
2AE1962921FB13A3E055000000000001,Fontstown,111,875,3660
2AE1962921FD13A3E055000000000001,Graney,232,1054,343
2AE19629220413A3E055000000000001,Grangemellon,785,431,524
2AE19629220513A3E055000000000001,Harristown,703,1345,4397
2AE19629220613A3E055000000000001,Inchaquire,964,3150,2957
2AE19629220713A3E055000000000001,Johnstown,552,1228,1104
2AE19629221113A3E055000000000001,Kilberry,915,3187,4282
2AE19629220813A3E055000000000001,Kildangan,26,1202,954
2AE19629220A13A3E055000000000001,Kilkea,884,2565,3726
2AE19629222313A3E055000000000001,Kilrush,331,304,3502
2AE19629222C13A3E055000000000001,Lackagh,786,2285,707
2AE19629224C13A3E055000000000001,Monasterevin,943,538,2951
2AE19629224D13A3E055000000000001,Moone,631,356,4797
2AE19629225C13A3E055000000000001,Narraghmore,102,1431,3725
2AE19629226913A3E055000000000001,Nurney,288,3969,1265
2AE19629227713A3E055000000000001,Quinsborough,385,1277,1742
2AE19629228413A3E055000000000001,Skerries,15,833,2121
2AE19629226413A3E055000000000001,Balraheen,73,3356,3503
2AE19629228E13A3E055000000000001,Celbridge,646,2126,1931
2AE19629229A13A3E055000000000001,Cloncurry,595,3168,2750
2AE1962922A513A3E055000000000001,Donadea,299,3462,1965
2AE1962922A613A3E055000000000001,Donaghcumper,430,2260,2480
2AE19629221213A3E055000000000001,Kilcock,889,1813,2909
2AE19629223E13A3E055000000000001,Leixlip,536,676,3760
2AE19629224013A3E055000000000001,Maynooth,375,805,397
2AE19629228F13A3E055000000000001,Straffan,582,339,1668
2AE19629224B13A3E055000000000001,Ballynadrumny,670,1214,2089
2AE19629227413A3E055000000000001,Cadamstown,463,855,1800
